,year,name,date,Descriptive,Dry,Wet,Drizzle,Rain
0,1950,British Grand Prix,1950-05-13,"Sun, Dry",1.0,0.0,0.0,0.0
1,1950,Monaco Grand Prix,1950-05-21,"Sun, Dry",1.0,0.0,0.0,0.0
2,1950,Indianapolis 500,1950-05-30,"Sun, short drizzle",0.0,0.0,1.0,0.0
3,1950,Swiss Grand Prix,1950-06-04,"Sun, Dry",1.0,0.0,0.0,0.0
4,1950,Belgian Grand Prix,1950-06-18,"Sun, Dry",1.0,0.0,0.0,0.0
5,1950,French Grand Prix,1950-07-02,"Sun, Dry",1.0,0.0,0.0,0.0
6,1950,Italian Grand Prix,1950-09-03,"Sun, Dry",1.0,0.0,0.0,0.0
7,1951,Swiss Grand Prix,1951-05-27,Wet,0.0,1.0,0.0,0.0
8,1951,Indianapolis 500,1951-05-30,"Sun, Dry",1.0,0.0,0.0,0.0
9,1951,Belgian Grand Prix,1951-06-17,"Sun, Dry",1.0,0.0,0.0,0.0
10,1951,French Grand Prix,1951-07-01,"Sun, Dry",1.0,0.0,0.0,0.0
11,1951,British Grand Prix,1951-07-14,"Sun, Dry",1.0,0.0,0.0,0.0
12,1951,German Grand Prix,1951-07-29,"Sun, Dry",1.0,0.0,0.0,0.0
13,1951,Italian Grand Prix,1951-09-16,"Sun, Dry",1.0,0.0,0.0,0.0
14,1951,Spanish Grand Prix,1951-10-28,"Sun, Dry",1.0,0.0,0.0,0.0
15,1952,Swiss Grand Prix,1952-05-18,"Sun, Dry",1.0,0.0,0.0,0.0
16,1952,Indianapolis 500,1952-05-30,"Sun, Dry",1.0,0.0,0.0,0.0
17,1952,Belgian Grand Prix,1952-06-22,Wet,0.0,1.0,0.0,0.0
18,1952,French Grand Prix,1952-07-06,Wet,0.0,1.0,0.0,0.0
19,1952,British Grand Prix,1952-07-19,"Sun, Dry",1.0,0.0,0.0,0.0
20,1952,German Grand Prix,1952-08-03,"Sun, Dry",1.0,0.0,0.0,0.0
21,1952,Dutch Grand Prix,1952-08-17,Wet,0.0,1.0,0.0,0.0
22,1952,Italian Grand Prix,1952-09-07,"Sun, Dry",1.0,0.0,0.0,0.0
23,1953,Argentine Grand Prix,1953-01-18,"Sun, Dry",1.0,0.0,0.0,0.0
24,1953,Indianapolis 500,1953-05-30,"Sun, Dry",1.0,0.0,0.0,0.0
25,1953,Dutch Grand Prix,1953-06-07,"Sun, Dry",1.0,0.0,0.0,0.0
26,1953,Belgian Grand Prix,1953-06-21,"Sun, Dry",1.0,0.0,0.0,0.0
27,1953,French Grand Prix,1953-07-05,"Sun, Dry",1.0,0.0,0.0,0.0
28,1953,British Grand Prix,1953-07-18,Wet,0.0,1.0,0.0,0.0
29,1953,German Grand Prix,1953-08-02,"Sun, Dry",1.0,0.0,0.0,0.0
30,1953,Swiss Grand Prix,1953-08-23,"Sun, Dry",1.0,0.0,0.0,0.0
31,1953,Italian Grand Prix,1953-09-13,"Sun, Dry",1.0,0.0,0.0,0.0
32,1954,Argentine Grand Prix,1954-01-17,Wet,0.0,1.0,0.0,0.0
33,1954,Indianapolis 500,1954-05-31,"Sun, Dry",1.0,0.0,0.0,0.0
34,1954,Belgian Grand Prix,1954-06-20,"Sun, Dry",1.0,0.0,0.0,0.0
35,1954,French Grand Prix,1954-07-04,Wet,0.0,1.0,0.0,0.0
36,1954,British Grand Prix,1954-07-17,Wet,0.0,1.0,0.0,0.0
37,1954,German Grand Prix,1954-08-01,"Sun, Dry",1.0,0.0,0.0,0.0
38,1954,Swiss Grand Prix,1954-08-22,Wet,0.0,1.0,0.0,0.0
39,1954,Italian Grand Prix,1954-09-05,"Sun, Dry",1.0,0.0,0.0,0.0
40,1954,Spanish Grand Prix,1954-10-24,"Sun, Dry",1.0,0.0,0.0,0.0
41,1955,Argentine Grand Prix,1955-01-16,"Sun, Dry",1.0,0.0,0.0,0.0
42,1955,Monaco Grand Prix,1955-05-22,"Sun, Dry",1.0,0.0,0.0,0.0
43,1955,Indianapolis 500,1955-05-30,"Sun, Dry",1.0,0.0,0.0,0.0
44,1955,Belgian Grand Prix,1955-06-05,"Sun, Dry",1.0,0.0,0.0,0.0
45,1955,Dutch Grand Prix,1955-06-19,Wet,0.0,1.0,0.0,0.0
46,1955,British Grand Prix,1955-07-16,"Sun, Dry",1.0,0.0,0.0,0.0
47,1955,Italian Grand Prix,1955-09-11,"Sun, Dry",1.0,0.0,0.0,0.0
48,1956,Argentine Grand Prix,1956-01-22,"Sun, Dry",1.0,0.0,0.0,0.0
49,1956,Monaco Grand Prix,1956-05-13,"Sun, Dry",1.0,0.0,0.0,0.0
50,1956,Indianapolis 500,1956-05-30,"Sun, Dry",1.0,0.0,0.0,0.0
51,1956,Belgian Grand Prix,1956-06-03,Wet,0.0,1.0,0.0,0.0
52,1956,French Grand Prix,1956-07-01,"Sun, Dry",1.0,0.0,0.0,0.0
53,1956,British Grand Prix,1956-07-14,"Sun, Dry",1.0,0.0,0.0,0.0
54,1956,German Grand Prix,1956-08-05,"Sun, Dry",1.0,0.0,0.0,0.0
55,1956,Italian Grand Prix,1956-09-02,Wet,0.0,1.0,0.0,0.0
56,1957,Argentine Grand Prix,1957-01-13,"Sun, Dry",1.0,0.0,0.0,0.0
57,1957,Monaco Grand Prix,1957-05-19,"Sun, Dry",1.0,0.0,0.0,0.0
58,1957,Indianapolis 500,1957-05-30,"Sun, Dry",1.0,0.0,0.0,0.0
59,1957,French Grand Prix,1957-07-07,"Sun, Dry",1.0,0.0,0.0,0.0
60,1957,British Grand Prix,1957-07-20,"Sun, Dry",1.0,0.0,0.0,0.0
61,1957,German Grand Prix,1957-08-04,"Sun, Dry",1.0,0.0,0.0,0.0
62,1957,Pescara Grand Prix,1957-08-18,"Sun, Dry",1.0,0.0,0.0,0.0
63,1957,Italian Grand Prix,1957-09-08,"Sun, Dry",1.0,0.0,0.0,0.0
64,1958,Argentine Grand Prix,1958-01-19,"Sun, Dry",1.0,0.0,0.0,0.0
65,1958,Monaco Grand Prix,1958-05-18,"Sun, Dry",1.0,0.0,0.0,0.0
66,1958,Dutch Grand Prix,1958-05-26,"Sun, Dry",1.0,0.0,0.0,0.0
67,1958,Indianapolis 500,1958-05-30,"Sun, Dry",1.0,0.0,0.0,0.0
68,1958,Belgian Grand Prix,1958-06-15,"Sun, Dry",1.0,0.0,0.0,0.0
69,1958,French Grand Prix,1958-07-06,"Sun, Dry",1.0,0.0,0.0,0.0
70,1958,British Grand Prix,1958-07-19,"Sun, Dry",1.0,0.0,0.0,0.0
71,1958,German Grand Prix,1958-08-03,"Sun, Dry",1.0,0.0,0.0,0.0
72,1958,Portuguese Grand Prix,1958-08-24,"Sun, Dry",1.0,0.0,0.0,0.0
73,1958,Italian Grand Prix,1958-09-07,"Sun, Dry",1.0,0.0,0.0,0.0
74,1958,Moroccan Grand Prix,1958-10-19,"Sun, Dry",1.0,0.0,0.0,0.0
75,1959,Monaco Grand Prix,1959-05-10,"Sun, Dry",1.0,0.0,0.0,0.0
76,1959,Indianapolis 500,1959-05-30,"Sun, Dry",1.0,0.0,0.0,0.0
77,1959,Dutch Grand Prix,1959-05-31,"Sun, Dry",1.0,0.0,0.0,0.0
