index,year,name,date,Descriptive,Dry,Wet,Drizzle,Rain
858,2012,Australian Grand Prix,3/18/2012,Dry,0,0,0,0
859,2012,Malaysian Grand Prix,3/25/2012,Rain,0,0,0,0
860,2012,Chinese Grand Prix,4/15/2012,Dry,0,0,0,0
861,2012,Bahrain Grand Prix,4/22/2012,Dry,0,0,0,0
862,2012,Spanish Grand Prix,5/13/2012,Dry,0,0,0,0
863,2012,Monaco Grand Prix,5/27/2012,Drizzle,0,0,0,0
864,2012,Canadian Grand Prix,6/10/2012,Dry,0,0,0,0
865,2012,European Grand Prix,6/24/2012,Dry,0,0,0,0
866,2012,British Grand Prix,7/8/2012,Dry,0,0,0,0
867,2012,German Grand Prix,7/22/2012,Dry,0,0,0,0
868,2012,Hungarian Grand Prix,7/29/2012,Dry,0,0,0,0
869,2012,Belgian Grand Prix,9/2/2012,Dry,0,0,0,0
870,2012,Italian Grand Prix,9/9/2012,Dry,0,0,0,0
871,2012,Singapore Grand Prix,9/23/2012,Dry,0,0,0,0
872,2012,Japanese Grand Prix,10/7/2012,Dry,0,0,0,0
873,2012,Korean Grand Prix,10/14/2012,Dry,0,0,0,0
874,2012,Indian Grand Prix,10/28/2012,Dry,0,0,0,0
875,2012,Abu Dhabi Grand Prix,11/4/2012,Dry,0,0,0,0
876,2012,United States Grand Prix,11/18/2012,Dry,0,0,0,0
877,2012,Brazilian Grand Prix,11/25/2012,Rain,0,0,0,0
878,2013,Australian Grand Prix,3/17/2013,Dry,0,0,0,0
879,2013,Malaysian Grand Prix,3/24/2013,Drizzle,0,0,0,0
880,2013,Chinese Grand Prix,4/14/2013,Dry,0,0,0,0
881,2013,Bahrain Grand Prix,4/21/2013,Dry,0,0,0,0
882,2013,Spanish Grand Prix,5/12/2013,Dry,0,0,0,0
883,2013,Monaco Grand Prix,5/26/2013,Dry,0,0,0,0
884,2013,Canadian Grand Prix,6/9/2013,Dry,0,0,0,0
885,2013,British Grand Prix,6/30/2013,Dry,0,0,0,0
886,2013,German Grand Prix,7/7/2013,Dry,0,0,0,0
887,2013,Hungarian Grand Prix,7/28/2013,Dry,0,0,0,0
888,2013,Belgian Grand Prix,8/25/2013,Dry,0,0,0,0
889,2013,Italian Grand Prix,9/8/2013,Dry,0,0,0,0
890,2013,Singapore Grand Prix,9/22/2013,Dry,0,0,0,0
891,2013,Korean Grand Prix,10/6/2013,Dry,0,0,0,0
892,2013,Japanese Grand Prix,10/13/2013,Dry,0,0,0,0
893,2013,Indian Grand Prix,10/27/2013,Dry,0,0,0,0
894,2013,Abu Dhabi Grand Prix,11/3/2013,Dry,0,0,0,0
895,2013,United States Grand Prix,11/17/2013,Dry,0,0,0,0
896,2013,Brazilian Grand Prix,11/24/2013,Drizzle,0,0,0,0
897,2014,Australian Grand Prix,3/16/2014,Dry,0,0,0,0
898,2014,Malaysian Grand Prix,3/30/2014,Dry,0,0,0,0
899,2014,Bahrain Grand Prix,4/6/2014,Dry,0,0,0,0
900,2014,Chinese Grand Prix,4/20/2014,Dry,0,0,0,0
901,2014,Spanish Grand Prix,5/11/2014,Dry,0,0,0,0
902,2014,Monaco Grand Prix,5/25/2014,Dry,0,0,0,0
903,2014,Canadian Grand Prix,6/8/2014,Dry,0,0,0,0
904,2014,Austrian Grand Prix,6/22/2014,Dry,0,0,0,0
905,2014,British Grand Prix,7/6/2014,Dry,0,0,0,0
906,2014,German Grand Prix,7/20/2014,Dry,0,0,0,0
907,2014,Hungarian Grand Prix,7/27/2014,Dry,0,0,0,0
908,2014,Belgian Grand Prix,8/24/2014,Dry,0,0,0,0
909,2014,Italian Grand Prix,9/7/2014,Dry,0,0,0,0
910,2014,Singapore Grand Prix,9/21/2014,Dry,0,0,0,0
911,2014,Japanese Grand Prix,10/5/2014,Rain,0,0,0,0
912,2014,Russian Grand Prix,10/12/2014,Dry,0,0,0,0
913,2014,United States Grand Prix,11/2/2014,Dry,0,0,0,0
914,2014,Brazilian Grand Prix,11/9/2014,Dry,0,0,0,0
915,2014,Abu Dhabi Grand Prix,11/23/2014,Dry,0,0,0,0
916,2015,Australian Grand Prix,3/15/2015,Dry,0,0,0,0
917,2015,Malaysian Grand Prix,3/29/2015,Dry,0,0,0,0
918,2015,Chinese Grand Prix,4/12/2015,Dry,0,0,0,0
919,2015,Bahrain Grand Prix,4/19/2015,Dry,0,0,0,0
920,2015,Spanish Grand Prix,5/10/2015,Dry,0,0,0,0
921,2015,Monaco Grand Prix,5/24/2015,Dry,0,0,0,0
922,2015,Canadian Grand Prix,6/7/2015,Dry,0,0,0,0
923,2015,Austrian Grand Prix,6/21/2015,Dry,0,0,0,0
924,2015,British Grand Prix,7/5/2015,Rain,0,0,0,0
925,2015,Hungarian Grand Prix,7/26/2015,Dry,0,0,0,0
926,2015,Belgian Grand Prix,8/23/2015,Dry,0,0,0,0
927,2015,Italian Grand Prix,9/6/2015,Dry,0,0,0,0
928,2015,Singapore Grand Prix,9/20/2015,Dry,0,0,0,0
929,2015,Japanese Grand Prix,9/27/2015,Dry,0,0,0,0
930,2015,Russian Grand Prix,10/11/2015,Dry,0,0,0,0
931,2015,United States Grand Prix,10/25/2015,Dry,0,0,0,0
932,2015,Mexican Grand Prix,11/1/2015,Dry,0,0,0,0
933,2015,Brazilian Grand Prix,11/15/2015,Dry,0,0,0,0
934,2015,Abu Dhabi Grand Prix,11/29/2015,Dry,0,0,0,0
935,2016,Australian Grand Prix,3/20/2016,Dry,0,0,0,0
936,2016,Bahrain Grand Prix,4/3/2016,Dry,0,0,0,0
937,2016,Chinese Grand Prix,4/17/2016,Dry,0,0,0,0
938,2016,Russian Grand Prix,5/1/2016,Dry,0,0,0,0
939,2016,Spanish Grand Prix,5/15/2016,Dry,0,0,0,0
940,2016,Monaco Grand Prix,5/29/2016,Rain,0,0,0,0
941,2016,Canadian Grand Prix,6/12/2016,Dry,0,0,0,0
942,2016,European Grand Prix,6/19/2016,Dry,0,0,0,0
943,2016,Austrian Grand Prix,7/3/2016,Dry,0,0,0,0
944,2016,British Grand Prix,7/10/2016,Wet,0,0,0,0
945,2016,Hungarian Grand Prix,7/24/2016,Dry,0,0,0,0
946,2016,German Grand Prix,7/31/2016,Dry,0,0,0,0
947,2016,Belgian Grand Prix,8/28/2016,Dry,0,0,0,0
948,2016,Italian Grand Prix,9/4/2016,Dry,0,0,0,0
949,2016,Singapore Grand Prix,9/18/2016,Dry,0,0,0,0
950,2016,Malaysian Grand Prix,10/2/2016,Dry,0,0,0,0
951,2016,Japanese Grand Prix,10/9/2016,Dry,0,0,0,0
952,2016,United States Grand Prix,10/23/2016,Dry,0,0,0,0
953,2016,Mexican Grand Prix,10/30/2016,Dry,0,0,0,0
954,2016,Brazilian Grand Prix,11/13/2016,Rain,0,0,0,0
955,2016,Abu Dhabi Grand Prix,11/27/2016,Dry,0,0,0,0
956,2017,Australian Grand Prix,3/26/2017,Dry,0,0,0,0
957,2017,Chinese Grand Prix,4/9/2017,Drizzle,0,0,0,0
958,2017,Bahrain Grand Prix,4/16/2017,Dry,0,0,0,0
959,2017,Russian Grand Prix,4/30/2017,Dry,0,0,0,0
960,2017,Spanish Grand Prix,5/14/2017,Dry,0,0,0,0
961,2017,Monaco Grand Prix,5/28/2017,Dry,0,0,0,0
962,2017,Canadian Grand Prix,6/11/2017,Dry,0,0,0,0
963,2017,Azerbaijan Grand Prix,6/25/2017,Dry,0,0,0,0
964,2017,Austrian Grand Prix,7/9/2017,Dry,0,0,0,0
965,2017,British Grand Prix,7/16/2017,Dry,0,0,0,0
966,2017,Hungarian Grand Prix,7/30/2017,Dry,0,0,0,0
967,2017,Belgian Grand Prix,8/27/2017,Dry,0,0,0,0
968,2017,Italian Grand Prix,9/3/2017,Dry,0,0,0,0
969,2017,Singapore Grand Prix,9/17/2017,Rain,0,0,0,0
970,2017,Malaysian Grand Prix,10/1/2017,Dry,0,0,0,0
971,2017,Japanese Grand Prix,10/8/2017,Dry,0,0,0,0
972,2017,United States Grand Prix,10/22/2017,Dry,0,0,0,0
973,2017,Mexican Grand Prix,10/29/2017,Dry,0,0,0,0
974,2017,Brazilian Grand Prix,11/12/2017,Dry,0,0,0,0
975,2017,Abu Dhabi Grand Prix,11/26/2017,Dry,0,0,0,0
976,2018,Australian Grand Prix,3/25/2018,Dry,0,0,0,0
977,2018,Bahrain Grand Prix,4/8/2018,Dry,0,0,0,0
978,2018,Chinese Grand Prix,4/15/2018,Dry,0,0,0,0
979,2018,Azerbaijan Grand Prix,4/29/2018,Dry,0,0,0,0
980,2018,Spanish Grand Prix,5/13/2018,Dry,0,0,0,0
981,2018,Monaco Grand Prix,5/27/2018,Dry,0,0,0,0
982,2018,Canadian Grand Prix,6/10/2018,Dry,0,0,0,0
983,2018,French Grand Prix,6/24/2018,Dry,0,0,0,0
984,2018,Austrian Grand Prix,7/1/2018,Dry,0,0,0,0
985,2018,British Grand Prix,7/8/2018,Dry,0,0,0,0
986,2018,German Grand Prix,7/22/2018,Rain,0,0,0,0
987,2018,Hungarian Grand Prix,7/29/2018,Dry,0,0,0,0
988,2018,Belgian Grand Prix,8/26/2018,Dry,0,0,0,0
989,2018,Italian Grand Prix,9/2/2018,Dry,0,0,0,0
990,2018,Singapore Grand Prix,9/16/2018,Dry,0,0,0,0
991,2018,Russian Grand Prix,9/30/2018,Dry,0,0,0,0
992,2018,Japanese Grand Prix,10/7/2018,Dry,0,0,0,0
993,2018,United States Grand Prix,10/21/2018,Dry,0,0,0,0
994,2018,Mexican Grand Prix,10/28/2018,Dry,0,0,0,0
995,2018,Brazilian Grand Prix,11/11/2018,Dry,0,0,0,0
996,2018,Abu Dhabi Grand Prix,11/25/2018,Dry,0,0,0,0
997,2019,Australian Grand Prix,3/17/2019,Dry,0,0,0,0
998,2019,Bahrain Grand Prix,3/31/2019,Dry,0,0,0,0
999,2019,Chinese Grand Prix,4/14/2019,Dry,0,0,0,0
1000,2019,Azerbaijan Grand Prix,4/28/2019,Dry,0,0,0,0
1001,2019,Spanish Grand Prix,5/12/2019,Dry,0,0,0,0
1002,2019,Monaco Grand Prix,5/26/2019,Dry,0,0,0,0
1003,2019,Canadian Grand Prix,6/9/2019,Dry,0,0,0,0
1004,2019,French Grand Prix,6/23/2019,Dry,0,0,0,0
1005,2019,Austrian Grand Prix,6/30/2019,Dry,0,0,0,0
1006,2019,British Grand Prix,7/14/2019,Dry,0,0,0,0
1007,2019,German Grand Prix,7/28/2019,Rain,0,0,0,0
1008,2019,Hungarian Grand Prix,8/4/2019,Dry,0,0,0,0
1009,2019,Belgian Grand Prix,9/1/2019,Dry,0,0,0,0
1010,2019,Italian Grand Prix,9/8/2019,Dry,0,0,0,0
1011,2019,Singapore Grand Prix,9/22/2019,Dry,0,0,0,0
1012,2019,Russian Grand Prix,9/29/2019,Dry,0,0,0,0
1013,2019,Japanese Grand Prix,10/13/2019,Dry,0,0,0,0
1014,2019,Mexican Grand Prix,10/27/2019,Dry,0,0,0,0
1015,2019,United States Grand Prix,11/3/2019,Dry,0,0,0,0
