Index,Year,Weather
897,2014,Dry
898,2014,Dry
899,2014,Dry
900,2014,Dry
901,2014,Dry
902,2014,Wet
903,2014,Dry
904,2014,Dry
905,2014,Dry
906,2014,Dry
907,2014,Wet
908,2014,Dry
909,2014,Dry
910,2014,Dry
911,2014,Rain
912,2014,Dry
913,2014,Dry
914,2014,Dry
915,2014,Dry
916,2015,Dry
917,2015,Dry
918,2015,Dry
919,2015,Dry
920,2015,Dry
921,2015,Dry
922,2015,Dry
923,2015,Dry
924,2015,Drizzle
925,2015,Dry
926,2015,Dry
927,2015,Dry
928,2015,Dry
929,2015,Dry
930,2015,Dry
931,2015,Dry
932,2015,Dry
933,2015,Dry
934,2015,Dry
