year,name,date,Descriptive
2014,Australian Grand Prix,3/16/2014,Dry
2014,Malaysian Grand Prix,3/30/2014,Dry
2014,Bahrain Grand Prix,4/6/2014,Dry
2014,Chinese Grand Prix,4/20/2014,Dry
2014,Spanish Grand Prix,5/11/2014,Dry
2014,Monaco Grand Prix,5/25/2014,Wet
2014,Canadian Grand Prix,6/8/2014,Dry
2014,Austrian Grand Prix,6/22/2014,Dry
2014,British Grand Prix,7/6/2014,Dry
2014,German Grand Prix,7/20/2014,Dry
2014,Hungarian Grand Prix,7/27/2014,Wet
2014,Belgian Grand Prix,8/24/2014,Dry
2014,Italian Grand Prix,9/7/2014,Dry
2014,Singapore Grand Prix,9/21/2014,Dry
2014,Japanese Grand Prix,10/5/2014,Rain
2014,Russian Grand Prix,10/12/2014,Dry
2014,United States Grand Prix,11/2/2014,Dry
2014,Brazilian Grand Prix,11/9/2014,Dry
2014,Abu Dhabi Grand Prix,11/23/2014,Dry
2015,Australian Grand Prix,3/15/2015,Dry
2015,Malaysian Grand Prix,3/29/2015,Dry
2015,Chinese Grand Prix,4/12/2015,Dry
2015,Bahrain Grand Prix,4/19/2015,Dry
2015,Spanish Grand Prix,5/10/2015,Dry
2015,Monaco Grand Prix,5/24/2015,Dry
2015,Canadian Grand Prix,6/7/2015,Dry
2015,Austrian Grand Prix,6/21/2015,Dry
2015,British Grand Prix,7/5/2015,Drizzle
2015,Hungarian Grand Prix,7/26/2015,Dry
2015,Belgian Grand Prix,8/23/2015,Dry
2015,Italian Grand Prix,9/6/2015,Dry
2015,Singapore Grand Prix,9/20/2015,Dry
2015,Japanese Grand Prix,9/27/2015,Dry
2015,Russian Grand Prix,10/11/2015,Dry
2015,United States Grand Prix,10/25/2015,Dry
2015,Mexican Grand Prix,11/1/2015,Dry
2015,Brazilian Grand Prix,11/15/2015,Dry
2015,Abu Dhabi Grand Prix,11/29/2015,Dry
